spanish,french,category,icon,tags,notes,cloze,french_sentence
la misión,la mission / la quête,lugares,delapouite/scroll-quill.svg,misión,La misión del grupo es encontrar el castillo del enemigo.,(mission) {{c1::La misión}} del grupo es encontrar el castillo del enemigo.,La mission du groupe est de trouver le château de l'ennemi.
necesito ayuda,j'ai besoin d'aide,frases,lorc/two-shadows.svg,misión,El paladín grita: ¡Necesito ayuda! El monstruo es muy fuerte.,(j'ai besoin d'aide) El paladín grita: ¡{{c1::Necesito ayuda}}! El monstruo es muy fuerte.,Le paladin crie : J'ai besoin d'aide ! Le monstre est très fort.
¿puedes ayudarme?,peux-tu m'aider?,frases,sbed/help.svg,misión,¿Puedes ayudarme? Este cofre es muy pesado para mí solo.,(peux-tu m'aider) ¿{{c1::Puedes ayudarme}}? Este cofre es muy pesado para mí solo.,Peux-tu m'aider ? Ce coffre est trop lourd pour moi seul.
¿qué?,quoi? que? qu'est-ce que?,los interrogativos,,los interrogativos,¿Qué hay dentro del cofre misterioso de la mazmorra?,(quoi) ¿{{c1::Qué}} hay dentro del cofre misterioso de la mazmorra?,Qu'est-ce qu'il y a dans le coffre mystérieux du donjon ?
¿cuándo?,quand?,los interrogativos,,los interrogativos,¿Cuándo empieza la misión para rescatar al prisionero?,(quand) ¿{{c1::Cuándo}} empieza la misión para rescatar al prisionero?,Quand commence la mission pour sauver le prisonnier ?
¿cómo?,comment?,los interrogativos,,los interrogativos,¿Cómo derrotamos al dragón que guarda el castillo?,(comment) ¿{{c1::Cómo}} derrotamos al dragón que guarda el castillo?,Comment vaincrons-nous le dragon qui garde le château ?
¿dónde?,où?,los interrogativos,delapouite/position-marker.svg,direcciones,¿Dónde está el castillo del enemigo al norte?,(où) ¿{{c1::Dónde}} está el castillo del enemigo al norte?,Où est le château de l'ennemi au nord ?
¿por qué?,pourquoi?,los interrogativos,,los interrogativos,¿Por qué es tan peligrosa la misión al norte?,(pourquoi) ¿{{c1::Por qué}} es tan peligrosa la misión al norte?,Pourquoi la mission au nord est-elle si dangereuse ?
¿cuál? / ¿cuáles?,quel(le)? / quelles?,frases,delapouite/scroll-quill.svg,estrategia,¿Cuál es el plan para atacar el castillo del enemigo?,(quel) ¿{{c1::Cuál}} es el plan para atacar el castillo del enemigo?,Quel est le plan pour attaquer le château de l'ennemi ?
¿quién? / ¿quiénes?,qui?,los interrogativos,,los interrogativos,¿Quién lidera el grupo de aventureros en esta misión?,(qui) ¿{{c1::Quién}} lidera el grupo de aventureros en esta misión?,Qui dirige le groupe d'aventuriers pour cette mission ?
¿cuánto? / ¿cuánta? / ¿cuántos? / ¿cuántas?,combien (de) ?,los interrogativos,,los interrogativos,¿Cuántas pociones de curación nos quedan para la misión?,(combien) ¿{{c1::Cuántas}} pociones de curación nos quedan para la misión?,Combien de potions de soin nous reste-t-il pour la mission ?
porque,parce que,,,,No entramos en la cueva porque es demasiado peligrosa.,(parce que) No entramos en la cueva {{c1::porque}} es demasiado peligrosa.,Nous n'entrons pas dans la caverne parce qu'elle est trop dangereuse.
el enemigo,l'ennemi,personajes,lorc/evil-minion.svg,enemigo,El enemigo se esconde en las sombras de la mazmorra.,(ennemi) {{c1::El enemigo}} se esconde en las sombras de la mazmorra.,L'ennemi se cache dans les ombres du donjon.
el castillo,le château,lugares,delapouite/castle.svg,lugares,El castillo del rey está protegido por un dragón feroz.,(château) {{c1::El castillo}} del rey está protegido por un dragón feroz.,Le château du roi est protégé par un dragon féroce.
la recompensa,la récompense,tesoro,lorc/trophy.svg,misión,La recompensa por la misión es un cofre lleno de monedas de oro.,(récompense) {{c1::La recompensa}} por la misión es un cofre lleno de monedas de oro.,La récompense pour la mission est un coffre plein de pièces d'or.
cien,cent,números,,números,El anciano promete cien monedas de oro como recompensa.,(cent) El anciano promete {{c1::cien}} monedas de oro como recompensa.,Le vieillard promet cent pièces d'or comme récompense.
importante,important(e),adjetivos,,adjetivos,El anciano tiene un mensaje importante para los aventureros.,(important) El anciano tiene un mensaje {{c1::importante}} para los aventureros.,Le vieillard a un message important pour les aventuriers.
la taberna,la taverne,lugares,delapouite/barrel.svg,lugares,Los aventureros se reúnen en la taberna para planear la misión.,(taverne) Los aventureros se reúnen en {{c1::la taberna}} para planear la misión.,Les aventuriers se réunissent à la taverne pour planifier la mission.
el anciano,le vieillard,personajes,lorc/wizard-staff.svg,pnj,El anciano del pueblo les da la misión a los aventureros.,(vieillard) {{c1::El anciano}} del pueblo les da la misión a los aventureros.,Le vieillard du village donne la mission aux aventuriers.
adónde vamos,où allons-nous,frases,delapouite/path-distance.svg,direcciones,"¿Adónde vamos primero, al castillo o a la cueva?","(où allons-nous) ¿{{c1::Adónde vamos}} primero, al castillo o a la cueva?","Où allons-nous d'abord, au château ou à la caverne ?"
peligroso,dangereux,adjetivos,lorc/laser-warning.svg,adjetivos,El camino del norte es muy peligroso por la noche.,(dangereux) El camino del norte es muy {{c1::peligroso}} por la noche.,Le chemin du nord est très dangereux la nuit.
¡cuidado!,attention !,exclamaciones,lorc/laser-warning.svg,exclamación,¡Cuidado! Hay una trampa en el suelo de la mazmorra.,(attention) ¡{{c1::Cuidado}}! Hay una trampa en el suelo de la mazmorra.,Attention ! Il y a un piège sur le sol du donjon.
