spanish,french,category,icon,tags,notes,cloze,french_sentence
tirar el dado,lancer le dé,mecánica,delapouite/dice-six-faces-six.svg,reference mecánica,El guerrero tira el dado de veinte caras para atacar.,(lancer le dé) El guerrero {{c1::tira el dado}} de veinte caras para atacar.,Le guerrier lance le dé à vingt faces pour attaquer.
sacar,obtenir (au dé),mecánica,delapouite/dice-six-faces-six.svg,reference mecánica,Saqué un quince en el dado de ataque.,(obtenir) {{c1::Saqué}} un quince en el dado de ataque.,J'ai obtenu quinze au dé d'attaque.
el turno,le tour,mecánica,,reference mecánica,Es tu turno. ¿Qué quieres hacer?,(tour) Es tu {{c1::turno}}. ¿Qué quieres hacer?,C'est ton tour. Que veux-tu faire ?
la tirada,le jet de dé,mecánica,delapouite/dice-six-faces-six.svg,reference mecánica,La tirada de salvación es contra veneno.,(jet de dé) La {{c1::tirada}} de salvación es contra veneno.,Le jet de sauvegarde est contre le poison.
el daño,les dégâts,mecánica,,reference mecánica,Mi espada hace ocho de daño al enemigo.,(dégâts) Mi espada hace ocho de {{c1::daño}} al enemigo.,Mon épée fait huit de dégâts à l'ennemi.
la tirada de salvación,le jet de sauvegarde,mecánica,,reference mecánica,Hago una tirada de salvación contra el hechizo del mago.,(jet de sauvegarde) Hago una {{c1::tirada de salvación}} contra el hechizo del mago.,Je fais un jet de sauvegarde contre le sort du mage.
la prueba de habilidad,le test de compétence,mecánica,,reference mecánica,Hago una prueba de habilidad para abrir la cerradura.,(test de compétence) Hago una {{c1::prueba de habilidad}} para abrir la cerradura.,Je fais un test de compétence pour ouvrir la serrure.
el golpe crítico,le coup critique,mecánica,lorc/sword-clash.svg,reference mecánica,¡Saqué un veinte! ¡Es un golpe crítico!,(coup critique) ¡Saqué un veinte! ¡Es un {{c1::golpe crítico}}!,J'ai fait un vingt ! C'est un coup critique !
fallar,rater / échouer,mecánica,,reference mecánica,Fallo el ataque y el goblin me esquiva.,(rater) {{c1::Fallo}} el ataque y el goblin me esquiva.,Je rate l'attaque et le gobelin m'esquive.
impacto,touché,mecánica,,reference mecánica,¡Impacto! La flecha golpea al orco.,(touché) ¡{{c1::Impacto}}! La flecha golpea al orco.,Touché ! La flèche frappe l'orc.
descanso corto,repos court,mecánica,,reference mecánica,Después de la pelea hacemos un descanso corto de una hora.,(repos court) Después de la pelea hacemos un {{c1::descanso corto}} de una hora.,Après le combat nous faisons un repos court d'une heure.
descanso largo,repos long,mecánica,,reference mecánica,Descansamos en la posada para un descanso largo y recuperar todas las fuerzas.,(repos long) Descansamos en la posada para un {{c1::descanso largo}} y recuperar todas las fuerzas.,Nous nous reposons à l'auberge pour un repos long et récupérer toutes nos forces.
la ventaja,l'avantage,mecánica,,reference mecánica,Ataco con ventaja porque el enemigo no me ve.,(avantage) Ataco con {{c1::ventaja}} porque el enemigo no me ve.,J'attaque avec avantage parce que l'ennemi ne me voit pas.
la desventaja,le désavantage,mecánica,,reference mecánica,Ataco con desventaja porque está muy oscuro.,(désavantage) Ataco con {{c1::desventaja}} porque está muy oscuro.,J'attaque avec désavantage parce qu'il fait très sombre.
la iniciativa,l'initiative,mecánica,,reference mecánica,Tiramos la iniciativa para ver quién ataca primero.,(initiative) Tiramos {{c1::la iniciativa}} para ver quién ataca primero.,Nous lançons l'initiative pour voir qui attaque en premier.
sumar,additionner,mecánica,,reference mecánica,"Sumo el bonificador al resultado del dado, y el total es diecisiete.","(additionner) {{c1::Sumo}} el bonificador al resultado del dado, y el total es diecisiete.","J'additionne le bonus au résultat du dé, et le total est dix-sept."
