spanish,french,category,icon,tags,notes,cloze,french_sentence
la mazmorra,le donjon,lugares,delapouite/dungeon-gate.svg,lugares,Entramos en la mazmorra oscura con las antorchas encendidas.,(donjon) Entramos en {{c1::la mazmorra}} oscura con las antorchas encendidas.,Nous entrons dans le donjon obscur avec les torches allumées.
el pasillo,le couloir,lugares,,lugares,Hay tres puertas al final del pasillo oscuro.,(couloir) Hay tres puertas al final del {{c1::pasillo}} oscuro.,Il y a trois portes au bout du couloir sombre.
la sala,la salle,lugares,,lugares,La sala está vacía... o eso parece.,(salle) {{c1::La sala}} está vacía... o eso parece.,La salle est vide... ou c'est ce qu'il semble.
la escalera,l'escalier,lugares,,lugares,Las escaleras bajan a un nivel más oscuro de la mazmorra.,(escalier) Las {{c1::escaleras}} bajan a un nivel más oscuro de la mazmorra.,Les escaliers descendent à un niveau plus sombre du donjon.
la oscuridad,l'obscurité,entorno,lorc/dark-squad.svg,entorno,Hay mucha oscuridad en la mazmorra. No veo nada.,(obscurité) Hay mucha {{c1::oscuridad}} en la mazmorra. No veo nada.,Il y a beaucoup d'obscurité dans le donjon. Je ne vois rien.
la puerta secreta,la porte secrète,objetos,,objetos,El pícaro encuentra una puerta secreta en la pared.,(porte secrète) El pícaro encuentra una {{c1::puerta secreta}} en la pared.,Le roublard trouve une porte secrète dans le mur.
la trampa,le piège,peligros,lorc/wolf-trap.svg,peligro,¡Hay una trampa escondida en el suelo de piedra!,(piège) ¡Hay una {{c1::trampa}} escondida en el suelo de piedra!,Il y a un piège caché dans le sol de pierre !
el veneno,le poison,peligros,,peligro,La trampa tiene veneno en las flechas. ¡No la toques!,(poison) La trampa tiene {{c1::veneno}} en las flechas. ¡No la toques!,Le piège a du poison sur les flèches. Ne le touche pas !
el cofre,le coffre,tesoro,skoll/open-chest.svg,tesoro,Hay un cofre de madera en la esquina de la sala.,(coffre) Hay un {{c1::cofre}} de madera en la esquina de la sala.,Il y a un coffre en bois dans le coin de la salle.
la llave,la clé,objetos,sbed/key.svg,objetos,Necesito la llave dorada para abrir la puerta del cofre.,(clé) Necesito {{c1::la llave}} dorada para abrir la puerta del cofre.,J'ai besoin de la clé dorée pour ouvrir la porte du coffre.
el tesoro,le trésor,tesoro,delapouite/coins.svg,tesoro,¡Encontramos un tesoro escondido detrás de la pared secreta!,(trésor) ¡Encontramos un {{c1::tesoro}} escondido detrás de la pared secreta!,Nous trouvons un trésor caché derrière le mur secret !
encuentro,je trouve,verbos,lorc/magnifying-glass.svg,acción,Encuentro una llave brillante en el fondo del cofre viejo.,(je trouve) {{c1::Encuentro}} una llave brillante en el fondo del cofre viejo.,Je trouve une clé brillante au fond du vieux coffre.
el monstruo,le monstre,enemigos,lorc/daemon-skull.svg,enemigo,Hay un monstruo enorme en la sala del trono.,(monstre) Hay un {{c1::monstruo}} enorme en la sala del trono.,Il y a un monstre énorme dans la salle du trône.
el esqueleto,le squelette,enemigos,skoll/skeleton.svg,enemigo,El esqueleto ataca con una espada oxidada.,(squelette) {{c1::El esqueleto}} ataca con una espada oxidada.,Le squelette attaque avec une épée rouillée.
el troll,le troll,enemigos,skoll/troll.svg,enemigo,El troll es muy fuerte. ¡Cuidado con sus garras!,(troll) {{c1::El troll}} es muy fuerte. ¡Cuidado con sus garras!,Le troll est très fort. Attention à ses griffes !
ataco,j'attaque,combate,lorc/sword-clash.svg,combate,Ataco al goblin con mi espada antes de que pueda huir.,(j'attaque) {{c1::Ataco}} al goblin con mi espada antes de que pueda huir.,J'attaque le gobelin avec mon épée avant qu'il puisse fuir.
me defiendo,je me défends,combate,lorc/shield-reflect.svg,combate,Me defiendo con mi escudo cuando el orco me ataca.,(je me défends) {{c1::Me defiendo}} con mi escudo cuando el orco me ataca.,Je me défends avec mon bouclier quand l'orc m'attaque.
corro,je cours,verbos,lorc/run.svg,acción,Corro hacia la salida de la mazmorra lo más rápido posible.,(je cours) {{c1::Corro}} hacia la salida de la mazmorra lo más rápido posible.,Je cours vers la sortie du donjon le plus vite possible.
lanzo un hechizo,je lance un sort,magia,lorc/magic-swirl.svg,magia combate,El mago grita: ¡Lanzo un hechizo de fuego contra el troll!,(je lance un sort) El mago grita: ¡{{c1::Lanzo un hechizo}} de fuego contra el troll!,Le mage crie : Je lance un sort de feu contre le troll !
el fuego,le feu,magia,sbed/fire.svg,magia,¡Una bola de fuego ilumina toda la sala oscura!,(feu) ¡Una bola de {{c1::fuego}} ilumina toda la sala oscura!,Une boule de feu illumine toute la salle sombre !
el hielo,la glace,magia,delapouite/frozen-ring.svg,magia,Un rayo de hielo congela al enemigo en su lugar.,(glace) Un rayo de {{c1::hielo}} congela al enemigo en su lugar.,Un rayon de glace gèle l'ennemi sur place.
el jefe,le boss / le chef,enemigos,delapouite/boss-key.svg,enemigo,El jefe del castillo aparece con una espada enorme.,(boss) El {{c1::jefe}} del castillo aparece con una espada enorme.,Le boss du château apparaît avec une épée énorme.
¡ríndete!,rends-toi !,frases,delapouite/peace-dove.svg,combate,El jefe grita: ¡Ríndete! No puedes escapar de mi castillo.,(rends-toi) El jefe grita: ¡{{c1::Ríndete}}! No puedes escapar de mi castillo.,Le boss crie : Rends-toi ! Tu ne peux pas t'échapper de mon château.
¡nunca!,jamais !,frases,cathelineau/swordman.svg,combate,El paladín responde al jefe: ¡Nunca! Lucharemos hasta el final.,(jamais) El paladín responde al jefe: ¡{{c1::Nunca}}! Lucharemos hasta el final.,Le paladin répond au boss : Jamais ! Nous nous battrons jusqu'à la fin.
me rindo,je me rends,frases,,combate,El monstruo dice: Me rindo. Ya no puedo luchar más.,(je me rends) El monstruo dice: {{c1::Me rindo}}. Ya no puedo luchar más.,Le monstre dit : Je me rends. Je ne peux plus me battre.
poderoso/a,puissant(e),adjetivos,lorc/power-lightning.svg,adjetivos,El jefe es muy poderoso y tiene un ejército de esqueletos.,(puissant) El jefe es muy {{c1::poderoso}} y tiene un ejército de esqueletos.,Le boss est très puissant et il a une armée de squelettes.
fuerte,fort(e),adjetivos,delapouite/biceps.svg,adjetivos,El troll es fuerte pero no es muy inteligente.,(fort) El troll es {{c1::fuerte}} pero no es muy inteligente.,Le troll est fort mais il n'est pas très intelligent.
lento/a,lent(e),adjetivos,lorc/snail.svg,adjetivos,El ogro es lento. ¡Podemos escapar corriendo!,(lent) El ogro es {{c1::lento}}. ¡Podemos escapar corriendo!,L'ogre est lent. Nous pouvons nous échapper en courant !
rápido/a,rapide,adjetivos,lorc/sprint.svg,adjetivos,El pícaro es rápido y esquiva los ataques del jefe.,(rapide) El pícaro es {{c1::rápido}} y esquiva los ataques del jefe.,Le roublard est rapide et esquive les attaques du boss.
la victoria,la victoire,resultado,lorc/trophy.svg,combate,La victoria contra el jefe nos llena de alegría.,(victoire) {{c1::La victoria}} contra el jefe nos llena de alegría.,La victoire contre le boss nous remplit de joie.
hemos ganado,nous avons gagné,frases,skoll/fist.svg,combate,¡Hemos ganado la batalla contra el jefe del castillo!,(nous avons gagné) ¡{{c1::Hemos ganado}} la batalla contra el jefe del castillo!,Nous avons gagné la bataille contre le boss du château !
derroté al jefe,j'ai vaincu le boss,frases,cathelineau/swordman.svg,combate,Derroté al jefe con un golpe crítico de mi espada.,(j'ai vaincu le boss) {{c1::Derroté al jefe}} con un golpe crítico de mi espada.,J'ai vaincu le boss avec un coup critique de mon épée.
abro el cofre,j'ouvre le coffre,frases,skoll/open-chest.svg,acción,Abro el cofre del jefe y encuentro una espada mágica.,(j'ouvre le coffre) {{c1::Abro el cofre}} del jefe y encuentro una espada mágica.,J'ouvre le coffre du boss et je trouve une épée magique.
encontramos,nous avons trouvé,verbos,lorc/magnifying-glass.svg,acción,Encontramos un mapa escondido en el cofre del jefe.,(nous avons trouvé) {{c1::Encontramos}} un mapa escondido en el cofre del jefe.,Nous avons trouvé une carte cachée dans le coffre du boss.
el reino,le royaume,lugares,delapouite/castle.svg,lugares,El reino vecino está en peligro y necesita nuestra ayuda.,(royaume) El {{c1::reino}} vecino está en peligro y necesita nuestra ayuda.,Le royaume voisin est en danger et a besoin de notre aide.
