spanish,french,category,icon,tags,notes,cloze,french_sentence
hola,salut / bonjour,frases,,social,Hola. Me llamo Zara. ¿Y tú?,(salut) {{c1::Hola}}. Me llamo Zara. ¿Y tú?,Salut. Je m'appelle Zara. Et toi ?
adiós,au revoir,frases,,social,Adiós. Nos vemos en la próxima sesión.,(au revoir) {{c1::Adiós}}. Nos vemos en la próxima sesión.,Au revoir. On se voit à la prochaine séance.
sí,oui,frases,,social,Sí. Quiero jugar al aventurero.,(oui) {{c1::Sí}}. Quiero jugar al aventurero.,Oui. Je veux jouer à l'aventurier.
no,non,frases,,social,No. No entiendo la pregunta.,(non) {{c1::No}}. No entiendo la pregunta.,Non. Je ne comprends pas la question.
por favor,s'il te plaît,frases,,social,¿Puedes repetir por favor?,(s'il te plaît) ¿Puedes repetir {{c1::por favor}}?,Peux-tu répéter s'il te plaît ?
gracias,merci,frases,,social,Gracias por la poción de curación.,(merci) {{c1::Gracias}} por la poción de curación.,Merci pour la potion de soin.
perdón,pardon,frases,,social,Perdón. ¿Puedes hablar más lento?,(pardon) {{c1::Perdón}}. ¿Puedes hablar más lento?,Pardon. Peux-tu parler plus lentement ?
me llamo,je m'appelle,frases,,identidad,Me llamo Zara.,(je m'appelle) {{c1::Me llamo}} Zara.,Je m'appelle Zara.
soy,je suis (permanent),verbos,delapouite/person.svg,ser,Soy una guerrera elfa.,(je suis) {{c1::Soy}} una guerrera elfa.,Je suis une guerrière elfe.
eres,tu es (permanent),verbos,delapouite/person.svg,ser,¿Eres un mago?,(tu es) ¿{{c1::Eres}} un mago?,Es-tu un magicien ?
es,il/elle est,verbos,delapouite/person.svg,ser,Es un dragón enorme.,(il est) {{c1::Es}} un dragón enorme.,C'est un dragon énorme.
somos,nous sommes,verbos,delapouite/meeple-group.svg,ser,Somos héroes valientes.,(nous sommes) {{c1::Somos}} héroes valientes.,Nous sommes des héros courageux.
son,ils/elles sont,verbos,delapouite/meeple-group.svg,ser,Son los enemigos del reino.,(ils sont) {{c1::Son}} los enemigos del reino.,Ce sont les ennemis du royaume.
yo,je / moi,frases,,pronombres,Yo soy el guerrero del grupo.,(je / moi) {{c1::Yo}} soy el guerrero del grupo.,Moi je suis le guerrier du groupe.
tú,tu / toi,frases,,pronombres,¿Y tú? ¿Qué quieres hacer?,(tu / toi) ¿Y {{c1::tú}}? ¿Qué quieres hacer?,Et toi ? Que veux-tu faire ?
y,et,frases,,conectores,Soy un elfo y soy un mago.,(et) Soy un elfo {{c1::y}} soy un mago.,Je suis un elfe et je suis un mage.
o,ou,frases,,conectores,¿Quieres atacar o correr?,(ou) ¿Quieres atacar {{c1::o}} correr?,Tu veux attaquer ou courir ?
pero,mais,frases,,conectores,Soy fuerte pero no soy rápido.,(mais) Soy fuerte {{c1::pero}} no soy rápido.,Je suis fort mais je ne suis pas rapide.
también,aussi,frases,,conectores,Yo también quiero una espada.,(aussi) Yo {{c1::también}} quiero una espada.,Moi aussi je veux une épée.
esto,ceci / ça,frases,,demostrativos,¿Qué es esto? — Esto es un mapa.,(ceci / ça) ¿Qué es {{c1::esto}}? — Esto es un mapa.,Qu'est-ce que c'est ? — C'est une carte.
aquí,ici,frases,,demostrativos,Los aventureros están aquí en la taberna.,(ici) Los aventureros están {{c1::aquí}} en la taberna.,Les aventuriers sont ici à la taverne.
