spanish,french,category,icon,tags,notes,cloze,french_sentence
el camino,le chemin,entorno,delapouite/path-distance.svg,entorno,Los aventureros siguen el camino a través del bosque oscuro.,(chemin) Los aventureros siguen {{c1::el camino}} a través del bosque oscuro.,Les aventuriers suivent le chemin à travers la forêt sombre.
veo,je vois,verbos,delapouite/angry-eyes.svg,percepción,Veo algo extraño entre los árboles del bosque.,(je vois) {{c1::Veo}} algo extraño entre los árboles del bosque.,Je vois quelque chose d'étrange entre les arbres de la forêt.
escucho,j'entends,verbos,delapouite/sound-on.svg,percepción,Escucho un ruido misterioso que viene de la cueva.,(j'entends) {{c1::Escucho}} un ruido misterioso que viene de la cueva.,J'entends un bruit mystérieux qui vient de la caverne.
huelo,je sens (odeur),verbos,delapouite/nose-side.svg,percepción,Huelo algo raro en esta parte del bosque.,(je sens) {{c1::Huelo}} algo raro en esta parte del bosque.,Je sens quelque chose de bizarre dans cette partie de la forêt.
hay,il y a,verbos,delapouite/position-marker.svg,entorno,Hay un río grande que bloquea el camino de los aventureros.,(il y a) {{c1::Hay}} un río grande que bloquea el camino de los aventureros.,Il y a une grande rivière qui bloque le chemin des aventuriers.
voy / vamos,je vais / nous allons,verbos,,acción,Vamos al castillo antes de que anochezca.,(nous allons) {{c1::Vamos}} al castillo antes de que anochezca.,Nous allons au château avant la tombée de la nuit.
el mapa,la carte,equipo,lorc/treasure-map.svg,equipamiento,El mapa muestra el camino hacia la mazmorra secreta.,(carte) {{c1::El mapa}} muestra el camino hacia la mazmorra secreta.,La carte montre le chemin vers le donjon secret.
el norte,le nord,frases,lorc/compass.svg,direcciones,Los aventureros viajan hacia el norte para encontrar la torre.,(nord) Los aventureros viajan hacia {{c1::el norte}} para encontrar la torre.,Les aventuriers voyagent vers le nord pour trouver la tour.
el sur,le sud,frases,lorc/compass.svg,direcciones,Los aventureros caminan hacia el sur para llegar al río.,(sud) Los aventureros caminan hacia {{c1::el sur}} para llegar al río.,Les aventuriers marchent vers le sud pour arriver à la rivière.
el este,l'est,frases,lorc/compass.svg,direcciones,El sol sale por el este e ilumina el camino.,(est) El sol sale por {{c1::el este}} e ilumina el camino.,Le soleil se lève à l'est et illumine le chemin.
el oeste,l'ouest,frases,lorc/compass.svg,direcciones,El bosque encantado se encuentra hacia el oeste.,(ouest) El bosque encantado se encuentra hacia {{c1::el oeste}}.,La forêt enchantée se trouve vers l'ouest.
sigo recto,je continue tout droit,frases,,direcciones,Sigo recto por el camino hasta llegar al cruce.,(tout droit) {{c1::Sigo recto}} por el camino hasta llegar al cruce.,Je continue tout droit sur le chemin jusqu'au croisement.
giro a la izquierda,je tourne à gauche,frases,,direcciones,Giro a la izquierda en el cruce para ir hacia el río.,(à gauche) {{c1::Giro a la izquierda}} en el cruce para ir hacia el río.,Je tourne à gauche au croisement pour aller vers la rivière.
giro a la derecha,je tourne à droite,frases,,direcciones,Giro a la derecha cuando veo la señal de la posada.,(à droite) {{c1::Giro a la derecha}} cuando veo la señal de la posada.,Je tourne à droite quand je vois l'enseigne de l'auberge.
arriba,en haut,direcciones,,direcciones,"La habitación del mago está arriba, al final de las escaleras.","(en haut) La habitación del mago está {{c1::arriba}}, al final de las escaleras.","La chambre du mage est en haut, au bout des escaliers."
abajo,en bas,direcciones,,direcciones,"La mazmorra está abajo, debajo de la torre del castillo.","(en bas) La mazmorra está {{c1::abajo}}, debajo de la torre del castillo.","Le donjon est en bas, sous la tour du château."
abro la puerta,j'ouvre la porte,frases,delapouite/door-handle.svg,acción,Abro la puerta lentamente para ver qué hay al otro lado.,(j'ouvre la porte) {{c1::Abro la puerta}} lentamente para ver qué hay al otro lado.,J'ouvre la porte lentement pour voir ce qu'il y a de l'autre côté.
me escondo,je me cache,frases,lorc/hidden.svg,acción,Me escondo detrás del árbol cuando escucho pasos.,(je me cache) {{c1::Me escondo}} detrás del árbol cuando escucho pasos.,Je me cache derrière l'arbre quand j'entends des pas.
el bosque,la forêt,entorno,lorc/pine-tree.svg,entorno,El bosque es oscuro y lleno de criaturas misteriosas.,(forêt) {{c1::El bosque}} es oscuro y lleno de criaturas misteriosas.,La forêt est sombre et pleine de créatures mystérieuses.
el río,la rivière,entorno,delapouite/river.svg,entorno,El río es muy profundo para cruzar a pie.,(rivière) {{c1::El río}} es muy profundo para cruzar a pie.,La rivière est trop profonde pour traverser à pied.
la montaña,la montagne,entorno,delapouite/mountain-road.svg,entorno,La montaña es tan alta que las nubes cubren la cima.,(montagne) {{c1::La montaña}} es tan alta que las nubes cubren la cima.,La montagne est si haute que les nuages couvrent le sommet.
la cueva,la caverne,entorno,delapouite/cave-entrance.svg,entorno,La cueva es oscura y un olor extraño viene de dentro.,(caverne) {{c1::La cueva}} es oscura y un olor extraño viene de dentro.,La caverne est sombre et une odeur étrange vient de l'intérieur.
el puente,le pont,entorno,lorc/bridge.svg,entorno,Los aventureros cruzan el puente sobre el río para continuar su viaje.,(pont) Los aventureros cruzan {{c1::el puente}} sobre el río para continuar su viaje.,Les aventuriers traversent le pont sur la rivière pour continuer leur voyage.
