spanish,french,category,icon,tags,notes,cloze,french_sentence
mi,mon / ma,posesivos,,reference adjectifs,Mi espada es nueva.,(mon / ma) {{c1::Mi}} espada es nueva.,Mon épée est nouvelle.
mis,mes,posesivos,,reference adjectifs,Mis puntos de golpe son bajos.,(mes) {{c1::Mis}} puntos de golpe son bajos.,Mes points de vie sont bas.
tu,ton / ta,posesivos,,reference adjectifs,¿Tu personaje es un mago?,(ton / ta) ¿{{c1::Tu}} personaje es un mago?,Ton personnage est-il un mage ?
tus,tes,posesivos,,reference adjectifs,¿Cuáles son tus habilidades?,(tes) ¿Cuáles son {{c1::tus}} habilidades?,Quelles sont tes compétences ?
su,son / sa,posesivos,,reference adjectifs,Su hechizo es muy poderoso.,(son / sa) {{c1::Su}} hechizo es muy poderoso.,Son sort est très puissant.
sus,ses,posesivos,,reference adjectifs,Sus flechas están envenenadas.,(ses) {{c1::Sus}} flechas están envenenadas.,Ses flèches sont empoisonnées.
nuestro / nuestra,notre,posesivos,,reference adjectifs,Nuestro grupo entra en la mazmorra.,(notre) {{c1::Nuestro}} grupo entra en la mazmorra.,Notre groupe entre dans le donjon.
nuestros / nuestras,nos,posesivos,,reference adjectifs,Nuestros enemigos son muy fuertes.,(nos) {{c1::Nuestros}} enemigos son muy fuertes.,Nos ennemis sont très forts.
vuestro / vuestra,votre,posesivos,,reference adjectifs,Vuestro grupo necesita un plan.,(votre) {{c1::Vuestro}} grupo necesita un plan.,Votre groupe a besoin d'un plan.
vuestros / vuestras,vos,posesivos,,reference adjectifs,Vuestros compañeros esperan en la taberna.,(vos) {{c1::Vuestros}} compañeros esperan en la taberna.,Vos compagnons attendent à la taverne.
su,leur,posesivos,,reference adjectifs,Su guarida está escondida en la montaña.,(leur) {{c1::Su}} guarida está escondida en la montaña.,Leur repaire est caché dans la montagne.
sus,leurs,posesivos,,reference adjectifs,Sus tropas marchan hacia el castillo.,(leurs) {{c1::Sus}} tropas marchan hacia el castillo.,Leurs troupes marchent vers le château.
grande / grande,grand / gros,adjetivos,,reference adjectifs,El dragón del castillo es muy grande.,(grand / gros) El dragón del castillo es muy {{c1::grande}}.,Le dragon du château est très grand.
pequeño / pequeña,petit,adjetivos,,reference adjectifs,El goblin es muy pequeño pero muy astuto.,(petit) El goblin es muy {{c1::pequeño}} pero muy astuto.,Le gobelin est très petit mais très rusé.
nuevo / nueva,nouveau / neuf,adjetivos,,reference adjectifs,La espada del guerrero es nueva.,(nouveau / neuf) La espada del guerrero es {{c1::nueva}}.,L'épée du guerrier est neuve.
viejo / vieja,vieux,adjetivos,,reference adjectifs,El escudo del caballero es viejo.,(vieux) El escudo del caballero es {{c1::viejo}}.,Le bouclier du chevalier est vieux.
gastado / gastada,usé / abîmé,adjetivos,,reference adjectifs,La armadura del mercenario está gastada.,(usé / abîmé) La armadura del mercenario está {{c1::gastada}}.,L'armure du mercenaire est usée.
joven / joven,jeune,adjetivos,,reference adjectifs,El elfo joven busca aventuras en el bosque.,(jeune) El elfo {{c1::joven}} busca aventuras en el bosque.,Le jeune elfe cherche des aventures dans la forêt.
rico / rica,riche,adjetivos,,reference adjectifs,El mercader de la ciudad es muy rico.,(riche) El mercader de la ciudad es muy {{c1::rico}}.,Le marchand de la ville est très riche.
pobre / pobre,pauvre,adjetivos,,reference adjectifs,El aldeano pobre pide ayuda a los aventureros.,(pauvre) El aldeano {{c1::pobre}} pide ayuda a los aventureros.,Le villageois pauvre demande de l'aide aux aventuriers.
fuerte / fuerte,fort / puissant,adjetivos,,reference adjectifs,El guerrero es fuerte y lleva una gran hacha.,(fort / puissant) El guerrero es {{c1::fuerte}} y lleva una gran hacha.,Le guerrier est fort et porte une grande hache.
débil / débil,faible,adjetivos,,reference adjectifs,El enemigo está débil después de la batalla.,(faible) El enemigo está {{c1::débil}} después de la batalla.,L'ennemi est faible après la bataille.
rápido / rápida,rapide,adjetivos,,reference adjectifs,El ladrón es rápido y escapa por los tejados.,(rapide) El ladrón es {{c1::rápido}} y escapa por los tejados.,Le voleur est rapide et s'échappe par les toits.
lento / lenta,lent,adjetivos,,reference adjectifs,El troll es lento pero muy peligroso.,(lent) El troll es {{c1::lento}} pero muy peligroso.,Le troll est lent mais très dangereux.
oscuro/a,sombre,adjetivos,delapouite/night-sleep.svg,adjetivos,El bosque está muy oscuro por la noche.,(sombre) El bosque está muy {{c1::oscuro}} por la noche.,La forêt est très sombre la nuit.
ruidoso/a,bruyant(e),adjetivos,skoll/sound-waves.svg,adjetivos,El río de la montaña es muy ruidoso.,(bruyant(e)) El río de la montaña es muy {{c1::ruidoso}}.,La rivière de la montagne est très bruyante.
luminoso / luminosa,lumineux,adjetivos,,reference adjectifs,El hechizo del mago es luminoso y cega al enemigo.,(lumineux) El hechizo del mago es {{c1::luminoso}} y cega al enemigo.,Le sort du mage est lumineux et aveugle l'ennemi.
peligroso/a,dangereux(se),adjetivos,lorc/laser-warning.svg,adjetivos,¡El camino por la montaña es peligroso!,(dangereux(se)) ¡El camino por la montaña es {{c1::peligroso}}!,Le chemin par la montagne est dangereux !
seguro / segura,sûr / en sécurité,adjetivos,,reference adjectifs,La taberna del pueblo es un lugar seguro.,(sûr / en sécurité) La taberna del pueblo es un lugar {{c1::seguro}}.,La taverne du village est un endroit sûr.
mágico / mágica,magique,adjetivos,,reference adjectifs,El anillo del druida es mágico.,(magique) El anillo del druida es {{c1::mágico}}.,L'anneau du druide est magique.
misterioso / misteriosa,mystérieux,adjetivos,,reference adjectifs,Una puerta misteriosa aparece al fondo del pasillo.,(mystérieux) Una puerta {{c1::misteriosa}} aparece al fondo del pasillo.,Une porte mystérieuse apparaît au fond du couloir.
