spanish,french,category,icon,tags,notes,cloze,french_sentence
la aventura,l'aventure,mis_palabras,lorc/compass.svg,reference mis_palabras,Los héroes empiezan una nueva aventura en las montañas.,(aventure) Los héroes empiezan una nueva {{c1::aventura}} en las montañas.,Les héros commencent une nouvelle aventure dans les montagnes.
el héroe / la heroína,le héros / l'héroïne,mis_palabras,delapouite/person.svg,reference mis_palabras,El héroe levanta su espada y grita un desafío al dragón.,(héros) El {{c1::héroe}} levanta su espada y grita un desafío al dragón.,Le héros lève son épée et crie un défi au dragon.
el grupo,le groupe,mis_palabras,delapouite/person.svg,reference mis_palabras,El grupo decide acampar cerca del río antes de continuar.,(groupe) El {{c1::grupo}} decide acampar cerca del río antes de continuar.,Le groupe décide de camper près de la rivière avant de continuer.
la misión,la mission,mis_palabras,lorc/scroll-unfurled.svg,reference mis_palabras,El rey les da una misión muy peligrosa a los aventureros.,(mission) El rey les da una {{c1::misión}} muy peligrosa a los aventureros.,Le roi donne une mission très dangereuse aux aventuriers.
el tesoro,le trésor,mis_palabras,delapouite/chest.svg,reference mis_palabras,El dragón duerme encima de un gran tesoro de monedas de oro.,(trésor) El dragón duerme encima de un gran {{c1::tesoro}} de monedas de oro.,Le dragon dort sur un grand trésor de pièces d'or.
el oro,l'or,mis_palabras,delapouite/coins.svg,reference mis_palabras,El mercader pide diez monedas de oro por la poción.,(or) El mercader pide diez monedas de {{c1::oro}} por la poción.,Le marchand demande dix pièces d'or pour la potion.
la plata,l'argent,mis_palabras,delapouite/coins.svg,reference mis_palabras,Solo me quedan cinco monedas de plata en la bolsa.,(argent) Solo me quedan cinco monedas de {{c1::plata}} en la bolsa.,Il ne me reste que cinq pièces d'argent dans la bourse.
la llave,la clé,mis_palabras,delapouite/boss-key.svg,reference mis_palabras,Necesitamos encontrar la llave para abrir la puerta secreta.,(clé) Necesitamos encontrar la {{c1::llave}} para abrir la puerta secreta.,Nous devons trouver la clé pour ouvrir la porte secrète.
la puerta,la porte,mis_palabras,delapouite/door.svg,reference mis_palabras,El guerrero empuja la puerta con todas sus fuerzas.,(porte) El guerrero empuja la {{c1::puerta}} con todas sus fuerzas.,Le guerrier pousse la porte de toutes ses forces.
el mapa,la carte,mis_palabras,lorc/treasure-map.svg,reference mis_palabras,El explorador estudia el mapa para encontrar el camino al castillo.,(carte) El explorador estudia el {{c1::mapa}} para encontrar el camino al castillo.,L'explorateur étudie la carte pour trouver le chemin du château.
