spanish,french,category,icon,tags,notes,cloze,french_sentence
la ciudad,la ville,lugares,delapouite/city-car.svg,reference lugares,Los aventureros llegan a la ciudad buscando un mercader de armas.,(ville) Los aventureros llegan a la {{c1::ciudad}} buscando un mercader de armas.,Les aventuriers arrivent à la ville en cherchant un marchand d'armes.
el pueblo,le village,lugares,delapouite/village.svg,reference lugares,El grupo empieza su aventura en un pequeño pueblo al borde del bosque.,(village) El grupo empieza su aventura en un pequeño {{c1::pueblo}} al borde del bosque.,Le groupe commence son aventure dans un petit village au bord de la forêt.
la aldea,le hameau,lugares,delapouite/village.svg,reference lugares,La aldea solo tiene cinco casas y una fuente en el centro.,(hameau) La {{c1::aldea}} solo tiene cinco casas y una fuente en el centro.,Le hameau n'a que cinq maisons et une fontaine au centre.
la taberna,la taverne,lugares,delapouite/tavern-sign.svg,reference lugares,Los héroes entran en la taberna para buscar información sobre la misión.,(taverne) Los héroes entran en la {{c1::taberna}} para buscar información sobre la misión.,Les héros entrent dans la taverne pour chercher des informations sur la mission.
la posada,l'auberge,lugares,delapouite/tavern-sign.svg,reference lugares,"Después de un largo viaje, el grupo descansa en la posada.","(auberge) Después de un largo viaje, el grupo descansa en la {{c1::posada}}.","Après un long voyage, le groupe se repose à l'auberge."
la tienda,la boutique,lugares,delapouite/shop.svg,reference lugares,El mago compra componentes mágicos en la tienda del alquimista.,(boutique) El mago compra componentes mágicos en la {{c1::tienda}} del alquimista.,Le mage achète des composants magiques dans la boutique de l'alchimiste.
el mercado,le marché,lugares,delapouite/shop.svg,reference lugares,En el mercado hay mercaderes que venden pociones y armas.,(marché) En el {{c1::mercado}} hay mercaderes que venden pociones y armas.,"Au marché, il y a des marchands qui vendent des potions et des armes."
el castillo,le château,lugares,delapouite/castle.svg,reference lugares,El rey espera a los aventureros en su castillo fortificado.,(château) El rey espera a los aventureros en su {{c1::castillo}} fortificado.,Le roi attend les aventuriers dans son château fortifié.
la torre,la tour,lugares,delapouite/tv-tower.svg,reference lugares,El mago oscuro vive en la torre más alta de la región.,(tour) El mago oscuro vive en la {{c1::torre}} más alta de la región.,Le mage sombre vit dans la tour la plus haute de la région.
el palacio,le palais,lugares,delapouite/castle.svg,reference lugares,La reina recibe a los héroes en el gran salón del palacio.,(palais) La reina recibe a los héroes en el gran salón del {{c1::palacio}}.,La reine reçoit les héros dans la grande salle du palais.
el templo,le temple,lugares,skoll/pentacle.svg,reference lugares,El clérigo reza en el templo antes de partir a la aventura.,(temple) El clérigo reza en el {{c1::templo}} antes de partir a la aventura.,Le clerc prie dans le temple avant de partir à l'aventure.
la biblioteca,la bibliothèque,lugares,delapouite/notebook.svg,reference lugares,El mago busca un pergamino antiguo en la biblioteca de la ciudad.,(bibliothèque) El mago busca un pergamino antiguo en la {{c1::biblioteca}} de la ciudad.,Le mage cherche un parchemin ancien dans la bibliothèque de la ville.
el calabozo,le cachot,lugares,,reference lugares,Los prisioneros esperan en el calabozo oscuro bajo la fortaleza.,(cachot) Los prisioneros esperan en el {{c1::calabozo}} oscuro bajo la fortaleza.,Les prisonniers attendent dans le cachot sombre sous la forteresse.
